lat2,lon2,lux2
42.36520865,-71.07728495,1.6
42.36521281,-71.07728043,1.43
42.36521398,-71.07832669,29.17
42.36521907,-71.07833785,29.63
42.36522444,-71.07835837,29.05
42.36523083,-71.07839116,23.95
42.36523123,-71.07836524,23.36
42.36523136,-71.07841575,10.08
42.36523220,-71.07842734,8.91
42.36523329,-71.07837668,21.6
42.36523373,-71.07846381,10.08
42.36523415,-71.07843847,10.47
42.36523417,-71.07848941,4.4
42.36523491,-71.07847551,3.99
42.36523557,-71.07850112,4.32
42.36523793,-71.07852480,3.99
42.36523961,-71.07853646,2.64
42.36524060,-71.07854833,2.45
42.36524267,-71.07855955,2.46
42.36524546,-71.07858311,2.64
42.36524677,-71.07859485,3.24
42.36524995,-71.07860562,3.32
42.36525149,-71.07861754,3.2
42.36525571,-71.07864082,3.24
42.36525757,-71.07865245,5.16
42.36525959,-71.07866423,5.07
42.36526034,-71.07867690,5.19
42.36526314,-71.07870096,5.16
42.36526442,-71.07871277,11.08
42.36526554,-71.07872461,11.39
42.36526706,-71.07873649,11.92
42.36527011,-71.07875976,11.08
42.36527124,-71.07877185,21.89
42.36527280,-71.07878360,22.53
42.36527654,-71.07880640,21.59
42.36527722,-71.07881880,21.89
42.36527879,-71.07883029,28.15
42.36528112,-71.07884121,29.82
42.36528393,-71.07886459,29.27
42.36528471,-71.07887586,28.15
42.36528647,-71.07888729,16.39
42.36528765,-71.07889842,15.97
42.36529035,-71.07892057,15.33
42.36529133,-71.07893215,6.49
42.36529173,-71.07894333,6.23
42.36529564,-71.07896443,5.53
42.36529592,-71.07897617,6.49
42.36529751,-71.07898688,2.39
42.36529937,-71.07900836,2.29
42.36530090,-71.07901880,2.44
42.36530199,-71.07902937,2.39
42.36530469,-71.07905002,1.58
42.36530640,-71.07907082,1.74
42.36530887,-71.07908011,1.71
42.36530979,-71.07909030,1.58
42.36531176,-71.07909984,3.13
42.36531351,-71.07911992,3.19
42.36531525,-71.07912968,3.35
42.36531599,-71.07914000,3.13
42.36531702,-71.07916042,6.88
42.36531850,-71.07916986,7.25
42.36531978,-71.07917959,6.75
42.36532100,-71.07918907,6.88
42.36532339,-71.07920771,12.81
42.36532476,-71.07921703,12.23
42.36532617,-71.07922612,12.4
42.36532713,-71.07923565,12.81
42.36532871,-71.07974527,22.4
42.36532965,-71.07925342,19.26
42.36533064,-71.07973854,22.39
42.36533114,-71.07926217,19.4
42.36533182,-71.07927125,19.58
42.36533302,-71.07928932,19.26
42.36533443,-71.07929794,19.25
42.36533613,-71.07930586,18.99
42.36533735,-71.07931427,19.48
42.36533937,-71.07933082,12.59
42.36533984,-71.07933945,11.95
42.36534134,-71.07934753,12.92
42.36534239,-71.07935562,12.59
42.36534464,-71.07937092,5.92
42.36534521,-71.07937889,6.33
42.36534624,-71.07938620,6.2
42.36534696,-71.07961577,8.47
42.36534820,-71.07940111,5.92
42.36534895,-71.07940849,3.13
42.36535009,-71.07941546,3.09
42.36535108,-71.07942249,3
42.36535302,-71.07943635,3.13
42.36535409,-71.07944305,2.04
42.36535485,-71.07944997,2.03
42.36535546,-71.07945672,2.06
42.36535745,-71.07946977,2.04
42.36535824,-71.07947632,1.87
42.36535862,-71.07948317,1.86
42.36536023,-71.07711655,1.6
42.36536047,-71.07949593,1.84
42.36536130,-71.07950232,1.87
42.36536197,-71.07950874,2.14
42.36536303,-71.07951505,2.09
42.36536406,-71.07963647,12.67
42.36536445,-71.07963589,12.6
42.36536445,-71.07963587,12.69
